"Polinomio","Binario"
"0x5","1011"
"0x9","10011"
"0x12","100101"
"0x15","111011"
"0x21","1000011"
"0x2C","1111111"
"0x48","10010001"
"0x5B","11111111"
"0xA6","101001101"
"0x97","111111111"
"0x9C","100111001"
"0x167","1011001111"
"0x14B","1110011111"
"0x185","1111111111"
"0x13C","1111111111"
"0x327","11001001111"
"0x319","11000110011"
"0x2B9","10111111111"
"0x28E","11111111111"
"0x64D","110010011011"
"0x583","111111111111"
"0x5D7","101110101111"
"0x532","111001100111"
"0x571","101011100011"
"0xB75","1111111111111"
"0xC07","1100000001111"
"0x8F8","1000111110001"
"0xB41","1111111111111"
"0xA4f","1110011111111"
"0x102A","11111111111111"
"0x1909","11001111110011"
"0x12A5","11110111111111"
"0x10B7","11111111111111"
"0x21E8","111111111111111"
"0x212D","111111111111011"
"0x372B","111111111111111"
"0x28A9","101000101010011"
"0x2371","111111111111111"
"0x4976","1111111111111111"
"0x6A8D","1101010100011010"
"0x573A","1110111111100110"
"0x5BD5","1111111111111111"
"0x630B","1100011000011110"
"0xBAAD","11111111111111111"
"0xAC9A","10101100100110111"
"0xC86C","11001111111111111"
"0x986B","11110111111110111"
"0x8FDB","11111111111111111"
