Polynomial,Length ,CRCSize,MaxLengthHD
0x5,2048,3,2
0x9,2048,4,2
0x12,2048,5,2
0x21,2048,6,2
0x48,2048,7,2
0xA6,2048,8,2
0x167,2048,9,2
0x327,2048,10,2
0x64D,2048,11,2
0x9,11,4,3
0x12,26,5,3
0x21,57,6,3
0x48,120,7,3
0xA6,247,8,3
0x167,502,9,3
0x327,1013,10,3
0x64D,2036,11,3
0xB75,2048,12,3
0x15,10,5,4
0x2C,25,6,4
0x5B,56,7,4
0x97,119,8,4
0x14B,246,9,4
0x319,501,10,4
0x583,1012,11,4
0xC07,2035,12,4
0x102A,2048,13,4
0x21E8,2048,14,4
0x4976,2048,15,4
0xBAAD,2048,16,4
0x9C,9,8,5
0x185,13,9,5
0x2B9,21,10,5
0x5D7,26,11,5
0x8F8,53,12,5
0x212D,113,14,5
0x6A8D,136,15,5
0xAC9A,241,16,5
0x13C,8,9,6
0x28E,12,10,6
0x532,22,11,6
0xB41,27,12,6
0x1909,52,13,6
0x372B,57,14,6
0x573A,114,15,6
0xC86C,135,16,6
0x571,12,11,7
0x12A5,12,13,7
0x28A9,13,14,7
0x5BD5,16,15,7
0x968B,19,16,7
0xA4F,11,12,8
0x10B7,11,13,8
0x2371,11,14,8
0x630B,12,15,8
0x8FDB,15,16,8
